seed,budget_k,policy,mean_k,baseline_ppl,ppl,rel_ppl
0,96,uniform,96.0,8.0390625,11.8984375,1.4800777453838678
0,96,rank_prop,96.0,8.0390625,16.046875,1.9961127308066084
0,104,uniform,96.0,8.0390625,11.8984375,1.4800777453838678
0,104,rank_prop,96.0,8.0390625,16.046875,1.9961127308066084
0,112,uniform,112.0,8.0390625,9.5234375,1.184645286686103
0,112,rank_prop,110.0,8.0390625,15.015625,1.8678328474246841
1,96,uniform,96.0,8.0390625,12.328125,1.533527696793003
1,96,rank_prop,96.0,8.0390625,15.4921875,1.9271137026239067
1,104,uniform,96.0,8.0390625,12.328125,1.533527696793003
1,104,rank_prop,96.0,8.0390625,15.4921875,1.9271137026239067
1,112,uniform,112.0,8.0390625,9.6953125,1.2060252672497571
1,112,rank_prop,110.0,8.0390625,15.734375,1.9572400388726918
2,96,uniform,96.0,8.0390625,11.5546875,1.4373177842565599
2,96,rank_prop,96.0,8.0390625,15.671875,1.9494655004859087
2,104,uniform,96.0,8.0390625,11.5546875,1.4373177842565599
2,104,rank_prop,96.0,8.0390625,15.671875,1.9494655004859087
2,112,uniform,112.0,8.0390625,9.8828125,1.2293488824101069
2,112,rank_prop,110.0,8.0390625,13.6171875,1.6938775510204083
3,96,uniform,96.0,8.0390625,12.6640625,1.5753158406219632
3,96,rank_prop,96.0,8.0390625,17.046875,2.120505344995141
3,104,uniform,96.0,8.0390625,12.6640625,1.5753158406219632
3,104,rank_prop,96.0,8.0390625,17.046875,2.120505344995141
3,112,uniform,112.0,8.0390625,10.21875,1.271137026239067
3,112,rank_prop,110.0,8.0390625,15.28125,1.900874635568513
4,96,uniform,96.0,8.0390625,11.8046875,1.468415937803693
4,96,rank_prop,96.0,8.0390625,17.28125,2.1496598639455784
4,104,uniform,96.0,8.0390625,11.8046875,1.468415937803693
4,104,rank_prop,96.0,8.0390625,17.28125,2.1496598639455784
4,112,uniform,112.0,8.0390625,10.078125,1.2536443148688046
4,112,rank_prop,110.0,8.0390625,15.609375,1.9416909620991254
