activation,rho,Hamming,iterations,energy
identity,0.0,0.4500,30,0.230606
identity,0.0005,0.4700,30,0.107145
identity,0.001,0.4500,30,0.213280
identity,0.002,0.4200,30,0.107646
identity,0.003,0.4700,30,0.157352
tanh,0.0,0.4900,30,12.400230
tanh,0.0005,0.4900,30,12.492191
tanh,0.001,0.4900,30,12.463773
tanh,0.002,0.4900,30,12.455415
tanh,0.003,0.4900,30,12.546660
relu,0.0,0.4600,30,8.432113
relu,0.0005,0.4800,30,8.509496
relu,0.001,0.4900,30,8.582925
relu,0.002,0.4900,30,8.523836
relu,0.003,0.4900,30,8.545468
