method,target_sparsity,actual_sparsity,test_mse_mean,test_mse_std
Mozeika,0.0,0.0,0.2121591504743039,0.05199131799542685
Mozeika,0.25,0.22283653846153845,0.1869871928967719,0.037314423799413125
Mozeika,0.5,0.5198317307692308,0.2341546864296558,0.039171295501210554
Mozeika,0.65,0.6602764423076923,0.25954016744635716,0.0617875054215596
Mozeika,0.75,0.7541466346153847,0.31797895680023397,0.08938859362463292
Mozeika,0.85,0.8517427884615385,0.3280845391110543,0.058503162471297825
Mozeika,0.9,0.9055288461538462,0.35384711587811524,0.0580067472631728
Magnitude,0.0,0.0,0.2121591504743039,0.05199131799542685
Magnitude,0.25,0.25,0.21489988004186505,0.05554319758416452
Magnitude,0.5,0.5,0.23091391775675443,0.042088184862039885
Magnitude,0.65,0.65,0.3971020179367407,0.11462138817492021
Magnitude,0.75,0.75,0.7383834391976016,0.326449641245506
Magnitude,0.85,0.85,0.8776911382906172,0.3752841452131812
Magnitude,0.9,0.9,0.8907549247197231,0.38657153854084847
Mag+Retrain,0.0,0.0,0.2121591504743039,0.05199131799542685
Mag+Retrain,0.25,0.25,0.21614609856533862,0.0545749369069154
Mag+Retrain,0.5,0.5,0.2314943082460032,0.05538557389029572
Mag+Retrain,0.65,0.65,0.26507743583171545,0.06868135245093046
Mag+Retrain,0.75,0.75,0.3184101289321565,0.05838992695604753
Mag+Retrain,0.85,0.85,0.7260378951987487,0.30618893623174015
Mag+Retrain,0.9,0.9,0.81063957972575,0.2968958571050657
L1,0.0,0.0,0.2121591504743039,0.05199131799542685
L1,0.25,0.24387019230769227,0.20456024289483815,0.050114454508847946
L1,0.5,0.5016826923076922,0.22726336487087062,0.050436756070050014
L1,0.65,0.6514423076923077,0.22225286923677548,0.043164753206128656
L1,0.75,0.7477163461538462,0.22437086756520733,0.04487212695351203
L1,0.85,0.852704326923077,0.3746279588735825,0.11451980832332877
L1,0.9,0.9002403846153846,0.4460997537889024,0.11447884792633245
Random,0.0,0.0,0.2121591504743039,0.05199131799542685
Random,0.25,0.25,0.36695429455550027,0.09637709693982291
Random,0.5,0.5,0.5462581417586897,0.16680527278902363
Random,0.65,0.65,0.71820736916628,0.2815878925252693
Random,0.75,0.75,0.7192406419085977,0.18751599303066926
Random,0.85,0.85,0.8273471944145181,0.27244054401984863
Random,0.9,0.9,0.82426048303104,0.26062949829843435
