config,k_K,nbits_K,nbits_V,passage_idx,ppl,mean_ppl,rel_ppl,compression_ratio
baseline,,,,0,2.0859375,2.5826822916666665,1.0,1.0
baseline,,,,1,2.93359375,2.5826822916666665,1.0,1.0
baseline,,,,2,2.728515625,2.5826822916666665,1.0,1.0
k64_4bit,64,4,4,0,4.92578125,8.248697916666666,2.3614232209737827,5.333333333333333
k64_4bit,64,4,4,1,11.4453125,8.248697916666666,3.9014647137150464,5.333333333333333
k64_4bit,64,4,4,2,8.375,8.248697916666666,3.0694345025053686,5.333333333333333
k64_6bit,64,6,6,0,4.09765625,6.510416666666667,1.9644194756554307,3.5555555555555554
k64_6bit,64,6,6,1,8.984375,6.510416666666667,3.062583222370173,3.5555555555555554
k64_6bit,64,6,6,2,6.44921875,6.510416666666667,2.3636363636363638,3.5555555555555554
k64_8bit,64,8,8,0,4.0390625,6.42578125,1.9363295880149813,2.6666666666666665
k64_8bit,64,8,8,1,8.7890625,6.42578125,2.9960053262316912,2.6666666666666665
k64_8bit,64,8,8,2,6.44921875,6.42578125,2.3636363636363638,2.6666666666666665
k64_16bit,64,16,16,0,4.03125,6.41015625,1.9325842696629214,1.3333333333333333
k64_16bit,64,16,16,1,8.7734375,6.41015625,2.9906790945406123,1.3333333333333333
k64_16bit,64,16,16,2,6.42578125,6.41015625,2.3550465282748747,1.3333333333333333
k96_4bit,96,4,4,0,2.443359375,3.2486979166666665,1.1713483146067416,4.571428571428571
k96_4bit,96,4,4,1,3.916015625,3.2486979166666665,1.3348868175765647,4.571428571428571
k96_4bit,96,4,4,2,3.38671875,3.2486979166666665,1.2412312097351468,4.571428571428571
k96_6bit,96,6,6,0,2.39453125,3.0384114583333335,1.147940074906367,3.0476190476190474
k96_6bit,96,6,6,1,3.544921875,3.0384114583333335,1.2083888149134487,3.0476190476190474
k96_6bit,96,6,6,2,3.17578125,3.0384114583333335,1.1639226914817467,3.0476190476190474
k96_8bit,96,8,8,0,2.38671875,3.02734375,1.1441947565543071,2.2857142857142856
k96_8bit,96,8,8,1,3.513671875,3.02734375,1.1977363515312915,2.2857142857142856
k96_8bit,96,8,8,2,3.181640625,3.02734375,1.166070150322119,2.2857142857142856
k96_16bit,96,16,16,0,2.380859375,3.0260416666666665,1.1413857677902621,1.1428571428571428
k96_16bit,96,16,16,1,3.513671875,3.0260416666666665,1.1977363515312915,1.1428571428571428
k96_16bit,96,16,16,2,3.18359375,3.0260416666666665,1.1667859699355763,1.1428571428571428
k112_4bit,112,4,4,0,2.3671875,2.9466145833333335,1.1348314606741574,4.266666666666667
k112_4bit,112,4,4,1,3.419921875,2.9466145833333335,1.1657789613848202,4.266666666666667
k112_4bit,112,4,4,2,3.052734375,2.9466145833333335,1.1188260558339298,4.266666666666667
k112_6bit,112,6,6,0,2.255859375,2.8216145833333335,1.0814606741573034,2.8444444444444446
k112_6bit,112,6,6,1,3.22265625,2.8216145833333335,1.0985352862849533,2.8444444444444446
k112_6bit,112,6,6,2,2.986328125,2.8216145833333335,1.094488188976378,2.8444444444444446
k112_8bit,112,8,8,0,2.224609375,2.8053385416666665,1.0664794007490637,2.1333333333333333
k112_8bit,112,8,8,1,3.208984375,2.8053385416666665,1.0938748335552597,2.1333333333333333
k112_8bit,112,8,8,2,2.982421875,2.8053385416666665,1.093056549749463,2.1333333333333333
k112_16bit,112,16,16,0,2.2265625,2.802734375,1.0674157303370786,1.0666666666666667
k112_16bit,112,16,16,1,3.205078125,2.802734375,1.09254327563249,1.0666666666666667
k112_16bit,112,16,16,2,2.9765625,2.802734375,1.0909090909090908,1.0666666666666667
k128_4bit,128,4,4,0,2.208984375,2.72265625,1.0589887640449438,4.0
k128_4bit,128,4,4,1,3.08984375,2.72265625,1.0532623169107855,4.0
k128_4bit,128,4,4,2,2.869140625,2.72265625,1.0515390121689334,4.0
k128_6bit,128,6,6,0,2.087890625,2.595703125,1.000936329588015,2.6666666666666665
k128_6bit,128,6,6,1,2.94140625,2.595703125,1.0026631158455392,2.6666666666666665
k128_6bit,128,6,6,2,2.7578125,2.595703125,1.010737294201861,2.6666666666666665
k128_8bit,128,8,8,0,2.0859375,2.5852864583333335,1.0,2.0
k128_8bit,128,8,8,1,2.93359375,2.5852864583333335,1.0,2.0
k128_8bit,128,8,8,2,2.736328125,2.5852864583333335,1.0028632784538296,2.0
