model,architecture,k,k_frac,n_bits,passage_idx,ppl,mean_ppl,rel_ppl,compression_ratio
Mistral-7B-v0.3,Mistral,,,,0,2.296875,2.6770833333333335,1.0,1.0
Mistral-7B-v0.3,Mistral,,,,1,2.9375,2.6770833333333335,1.0,1.0
Mistral-7B-v0.3,Mistral,,,,2,2.796875,2.6770833333333335,1.0,1.0
Mistral-7B-v0.3,Mistral,64,0.5,4,0,2.46875,2.9947916666666665,1.0748299319727892,5.333333333333333
Mistral-7B-v0.3,Mistral,64,0.5,4,1,3.28125,2.9947916666666665,1.1170212765957446,5.333333333333333
Mistral-7B-v0.3,Mistral,64,0.5,4,2,3.234375,2.9947916666666665,1.1564245810055866,5.333333333333333
Mistral-7B-v0.3,Mistral,96,0.75,4,0,2.375,2.921875,1.034013605442177,4.571428571428571
Mistral-7B-v0.3,Mistral,96,0.75,4,1,3.15625,2.921875,1.074468085106383,4.571428571428571
Mistral-7B-v0.3,Mistral,96,0.75,4,2,3.234375,2.921875,1.1564245810055866,4.571428571428571
Mistral-7B-v0.3,Mistral,112,0.875,4,0,2.375,2.8697916666666665,1.034013605442177,4.266666666666667
Mistral-7B-v0.3,Mistral,112,0.875,4,1,3.078125,2.8697916666666665,1.047872340425532,4.266666666666667
Mistral-7B-v0.3,Mistral,112,0.875,4,2,3.15625,2.8697916666666665,1.1284916201117319,4.266666666666667
Mistral-7B-v0.3,Mistral,120,0.9375,4,0,2.375,2.875,1.034013605442177,4.129032258064516
Mistral-7B-v0.3,Mistral,120,0.9375,4,1,3.171875,2.875,1.0797872340425532,4.129032258064516
Mistral-7B-v0.3,Mistral,120,0.9375,4,2,3.078125,2.875,1.100558659217877,4.129032258064516
Mistral-7B-v0.3,Mistral,128,1.0,4,0,2.34375,2.8125,1.0204081632653061,4.0
Mistral-7B-v0.3,Mistral,128,1.0,4,1,3.15625,2.8125,1.074468085106383,4.0
Mistral-7B-v0.3,Mistral,128,1.0,4,2,2.9375,2.8125,1.0502793296089385,4.0
Phi-4-AWQ,Phi3,,,,0,2.35546875,2.7154947916666665,1.0,1.0
Phi-4-AWQ,Phi3,,,,1,3.056640625,2.7154947916666665,1.0,1.0
Phi-4-AWQ,Phi3,,,,2,2.734375,2.7154947916666665,1.0,1.0
Phi-4-AWQ,Phi3,64,0.5,4,0,2.578125,3.1966145833333335,1.0945273631840795,5.333333333333333
Phi-4-AWQ,Phi3,64,0.5,4,1,3.833984375,3.1966145833333335,1.2543130990415337,5.333333333333333
Phi-4-AWQ,Phi3,64,0.5,4,2,3.177734375,3.1966145833333335,1.1621428571428571,5.333333333333333
Phi-4-AWQ,Phi3,96,0.75,4,0,2.498046875,3.0514322916666665,1.060530679933665,4.571428571428571
Phi-4-AWQ,Phi3,96,0.75,4,1,3.62890625,3.0514322916666665,1.187220447284345,4.571428571428571
Phi-4-AWQ,Phi3,96,0.75,4,2,3.02734375,3.0514322916666665,1.1071428571428572,4.571428571428571
Phi-4-AWQ,Phi3,112,0.875,4,0,2.4765625,2.978515625,1.0514096185737978,4.266666666666667
Phi-4-AWQ,Phi3,112,0.875,4,1,3.5625,2.978515625,1.1654952076677316,4.266666666666667
Phi-4-AWQ,Phi3,112,0.875,4,2,2.896484375,2.978515625,1.0592857142857144,4.266666666666667
Phi-4-AWQ,Phi3,120,0.9375,4,0,2.44921875,2.9544270833333335,1.0398009950248757,4.129032258064516
Phi-4-AWQ,Phi3,120,0.9375,4,1,3.33984375,2.9544270833333335,1.0926517571884984,4.129032258064516
Phi-4-AWQ,Phi3,120,0.9375,4,2,3.07421875,2.9544270833333335,1.1242857142857143,4.129032258064516
Phi-4-AWQ,Phi3,128,1.0,4,0,2.35546875,2.935546875,1.0,4.0
Phi-4-AWQ,Phi3,128,1.0,4,1,3.458984375,2.935546875,1.131629392971246,4.0
Phi-4-AWQ,Phi3,128,1.0,4,2,2.9921875,2.935546875,1.0942857142857143,4.0
