round,sparsity,acc,fc1,fc2
1,0.19999999999999996,0.9805,0.2018069624900818,0.18583333492279053
2,0.36,0.9815,0.3694472312927246,0.28593331575393677
3,0.48800150829562594,0.9813,0.49997448921203613,0.3941333293914795
4,0.5904034690799397,0.9808,0.6048724353313446,0.4769666790962219
5,0.6723265460030166,0.9814,0.6863180100917816,0.5626333355903625
6,0.7378619909502262,0.9841,0.7482525408267975,0.6563999950885773
7,0.7902903469079939,0.9843,0.8035203963518143,0.6865666508674622
8,0.8322322775263952,0.9836,0.8430569618940353,0.7473666667938232
9,0.865788084464555,0.9821,0.8779931962490082,0.7700999975204468
10,0.8926319758672699,0.9823,0.9024872407317162,0.8153666704893112
11,0.914106334841629,0.9775,0.9246556088328362,0.831399992108345
12,0.9312858220211161,0.9799,0.9401232972741127,0.8620000034570694
13,0.9450301659125189,0.979,0.9536096937954426,0.8777666687965393
14,0.956025641025641,0.9785,0.9640093520283699,0.8934333324432373
15,0.9648227752639518,0.9787,0.9719642847776413,0.9088333323597908
16,0.9718589743589744,0.978,0.9779294207692146,0.9242666661739349
17,0.9774886877828054,0.9763,0.9825510196387768,0.9377999976277351
18,0.9819909502262444,0.9762,0.9863265305757523,0.9479999989271164
19,0.9855957767722474,0.9722,0.9892517002299428,0.9569333344697952
20,0.9884803921568628,0.974,0.9914923468604684,0.9648666679859161
21,0.99,0.9727,0.9926658160984516,0.9691000003367662
