n,rho,hamming_mean,hamming_std,hamming_min,hamming_max
1,0.0,0.51375,0.014523687548277825,0.49,0.54
1,0.0002,0.510625,0.01260890062614502,0.485,0.525
1,0.0004,0.513125,0.006584783595532968,0.505,0.525
1,0.0006000000000000001,0.51375,0.010231690964840572,0.495,0.525
1,0.0008,0.5118750000000001,0.010588171466310895,0.5,0.535
1,0.001,0.51875,0.009270248108869587,0.505,0.53
1,0.0012000000000000001,0.513125,0.010588171466310895,0.49,0.525
1,0.0014,0.5075000000000001,0.016201851746019666,0.475,0.525
1,0.0016,0.51625,0.01515544456622769,0.49,0.535
1,0.0018000000000000002,0.5125000000000001,0.012247448713915901,0.495,0.525
1,0.002,0.5175,0.009354143466934861,0.5,0.53
1,0.0022,0.51125,0.007395099728874527,0.5,0.52
1,0.0024000000000000002,0.505625,0.007261843774138912,0.49,0.515
1,0.0026000000000000003,0.51625,0.005448623679425847,0.51,0.525
1,0.0028,0.5162500000000001,0.013169567191065936,0.5,0.535
1,0.003,0.51125,0.008196798155377508,0.5,0.525
2,0.0,0.513125,0.014347800354061259,0.49,0.535
2,0.0002,0.504375,0.009499177595981673,0.49,0.52
2,0.0004,0.51875,0.008569568250501314,0.5,0.53
2,0.0006000000000000001,0.5175,0.006614378277661482,0.51,0.525
2,0.0008,0.5149999999999999,0.008291561975888507,0.5,0.525
2,0.001,0.5137499999999999,0.017093492913971695,0.49,0.535
2,0.0012000000000000001,0.513125,0.007880950133074065,0.5,0.525
2,0.0014,0.5149999999999999,0.007071067811865481,0.505,0.525
2,0.0016,0.5081249999999999,0.008267972847076853,0.495,0.52
2,0.0018000000000000002,0.508125,0.008992184106211358,0.495,0.52
2,0.002,0.5125,0.010606601717798222,0.495,0.53
2,0.0022,0.5118750000000001,0.0060917464655056075,0.505,0.52
2,0.0024000000000000002,0.514375,0.009822646028438579,0.505,0.53
2,0.0026000000000000003,0.5106250000000001,0.0068179450716473276,0.5,0.52
2,0.0028,0.515,0.01145643923738961,0.495,0.53
2,0.003,0.501875,0.011439378261076964,0.48,0.52
4,0.0,0.5206250000000001,0.009822646028438579,0.51,0.54
4,0.0002,0.5175000000000001,0.007500000000000007,0.51,0.53
4,0.0004,0.515,0.008660254037844393,0.505,0.535
4,0.0006000000000000001,0.52,0.007071067811865481,0.51,0.53
4,0.0008,0.5181250000000001,0.014128318194321657,0.5,0.54
4,0.001,0.515,0.011989578808281809,0.49,0.53
4,0.0012000000000000001,0.503125,0.008267972847076853,0.49,0.515
4,0.0014,0.518125,0.010588171466310895,0.505,0.54
4,0.0016,0.51875,0.010532687216470457,0.505,0.54
4,0.0018000000000000002,0.516875,0.0096622655210877,0.5,0.525
4,0.002,0.5125,0.0055901699437494795,0.505,0.52
4,0.0022,0.51,0.010000000000000009,0.5,0.525
4,0.0024000000000000002,0.513125,0.009333240326917559,0.5,0.53
4,0.0026000000000000003,0.510625,0.009164298936634497,0.5,0.525
4,0.0028,0.515625,0.013331705629813475,0.49,0.535
4,0.003,0.513125,0.011709371246997008,0.495,0.53
8,0.0,0.510625,0.007680128579652824,0.5,0.52
8,0.0002,0.518125,0.00747391296443838,0.51,0.535
8,0.0004,0.515625,0.009822646028438577,0.495,0.525
8,0.0006000000000000001,0.516875,0.006091746465505608,0.51,0.525
8,0.0008,0.51625,0.01634587103827754,0.495,0.55
8,0.001,0.50875,0.007806247497998005,0.495,0.52
8,0.0012000000000000001,0.5181250000000001,0.008992184106211358,0.51,0.535
8,0.0014,0.5162500000000001,0.012437342963832759,0.505,0.545
8,0.0016,0.5125,0.007905694150420955,0.495,0.525
8,0.0018000000000000002,0.515,0.007905694150420955,0.5,0.525
8,0.002,0.52125,0.0048412291827592754,0.515,0.53
8,0.0022,0.514375,0.005266343608235228,0.505,0.52
8,0.0024000000000000002,0.518125,0.007880950133074063,0.51,0.535
8,0.0026000000000000003,0.511875,0.004960783708246112,0.505,0.52
8,0.0028,0.5131249999999999,0.010588171466310895,0.495,0.535
8,0.003,0.505625,0.012358574958303253,0.49,0.525
